product_category_name,year,month,order_count,total_sales
furniture_living_room,2018,6,8,467.24
furniture_living_room,2018,7,14,4034.46
furniture_living_room,2018,8,2,167.62
furniture_mattress_and_upholstery,2018,1,1,76.99
garden_tools,2017,1,7,6209.0
garden_tools,2017,2,48,6679.859999999993
garden_tools,2017,3,51,5393.349999999994
garden_tools,2017,4,226,95892.70000000006
garden_tools,2017,5,79,10965.019999999995
garden_tools,2017,6,44,8260.179999999998
garden_tools,2017,7,510,329758.2899999998
garden_tools,2017,8,867,593704.3699999999
garden_tools,2017,9,552,375052.71000000066
garden_tools,2017,10,1779,1202953.0900000008
garden_tools,2017,11,3196,6799114.750000002
garden_tools,2017,12,1809,2790316.8700000606
garden_tools,2018,1,1097,520036.2999999947
garden_tools,2018,2,2788,2214259.7600000296
garden_tools,2018,3,1922,7266939.750000262
garden_tools,2018,4,1871,7463820.290000288
garden_tools,2018,5,1911,6636504.450000302
garden_tools,2018,6,821,380431.10999999533
garden_tools,2018,7,293,159791.57000000024
garden_tools,2018,8,187,94477.44000000019
health_beauty,2016,10,22,12952.26
health_beauty,2017,1,24,2015.4300000000007
health_beauty,2017,2,959,126188.25000000132
health_beauty,2017,3,736,123363.7399999998
health_beauty,2017,4,925,113898.09000000094
health_beauty,2017,5,1349,194104.44000000015
health_beauty,2017,6,1816,303336.289999998
health_beauty,2017,7,3424,758134.6100000009
health_beauty,2017,8,2948,305050.48999999993
health_beauty,2017,9,2289,169931.38999999434
health_beauty,2017,10,2820,380577.36999999324
health_beauty,2017,11,4086,676020.4999999893
health_beauty,2017,12,2312,385139.0400000096
health_beauty,2018,1,2646,498285.9800000095
health_beauty,2018,2,1391,254589.9599999992
health_beauty,2018,3,1426,208308.81999999925
health_beauty,2018,4,1536,135963.06000000212
health_beauty,2018,5,1922,151037.9900000043
health_beauty,2018,6,1796,131974.7599999991
health_beauty,2018,7,1544,128826.24999999921
health_beauty,2018,8,1345,82981.9999999985
home_appliances,2017,2,16,5861.38
home_appliances,2017,4,26,10921.819999999996
home_appliances,2017,5,69,18073.41999999999
home_appliances,2017,6,114,17649.47999999995
home_appliances,2017,7,52,17589.809999999998
home_appliances,2017,8,47,4642.3099999999995
home_appliances,2017,9,19,1413.9100000000005
home_appliances,2017,11,14,3360.3
home_appliances,2018,1,16,1420.37
home_appliances,2018,2,45,3767.1699999999973
home_appliances,2018,3,97,7644.580000000008
home_appliances,2018,4,50,4052.4799999999996
home_appliances,2018,5,2,63.52
home_appliances,2018,6,35,12254.929999999986
home_appliances,2018,7,6,659.25
home_appliances,2018,8,3,1005.43
home_appliances_2,2017,1,5,53.0
home_appliances_2,2017,7,2,386.5
home_appliances_2,2017,8,11,1487.1999999999998
home_appliances_2,2017,10,1,399.2
home_appliances_2,2017,11,2,386.5
home_appliances_2,2018,1,9,730.4299999999998
home_appliances_2,2018,2,27,3401.480000000002
home_appliances_2,2018,4,11,2786.98
home_appliances_2,2018,5,5,1947.1000000000001
home_appliances_2,2018,6,12,3555.48
home_appliances_2,2018,7,8,1018.4500000000002
home_appliances_2,2018,8,18,5918.160000000002
home_confort,2017,4,1,45.83
home_confort,2017,5,6,546.72
home_confort,2017,6,6,238.49
home_confort,2017,7,2,1909.35
home_confort,2017,8,9,2407.09
home_confort,2017,10,1,115.32
home_confort,2018,1,3,1007.97
home_confort,2018,2,12,1863.2399999999998
home_confort,2018,4,1,128.99
home_confort,2018,7,1,128.99
home_confort,2018,8,2,210.35
home_construction,2017,2,1,537.99
home_construction,2017,10,6,2069.04
home_construction,2017,11,40,5081.5599999999995
home_construction,2018,1,3,1954.54
home_construction,2018,2,16,2381.6299999999974
home_construction,2018,3,15,4760.91
home_construction,2018,4,32,3790.149999999996
home_construction,2018,5,8,4272.25
home_construction,2018,6,5,383.52
home_construction,2018,7,19,4154.9
home_construction,2018,8,4,176.96
housewares,2016,10,15,432.29999999999995
housewares,2017,1,28,2069.200000000001
housewares,2017,2,40,5579.330000000001
housewares,2017,3,43,3954.439999999999
housewares,2017,4,47,9502.059999999996
housewares,2017,5,97,19537.770000000004
housewares,2017,6,82,17989.140000000003
housewares,2017,7,129,25996.099999999948
housewares,2017,8,122,35199.98
housewares,2017,9,100,24998.05000000002
housewares,2017,10,84,23761.499999999978
housewares,2017,11,143,22216.47000000001
housewares,2017,12,116,53194.65000000004
housewares,2018,1,112,31745.00000000003
housewares,2018,2,158,72171.53999999996
housewares,2018,3,82,18365.92
housewares,2018,4,210,150316.34000000003
housewares,2018,5,198,55075.07000000001
housewares,2018,6,144,17856.199999999993
housewares,2018,7,114,22481.510000000002
housewares,2018,8,90,43266.80000000001
industry_commerce_and_business,2017,2,1,159.9
industry_commerce_and_business,2018,2,30,15047.140000000003
industry_commerce_and_business,2018,3,14,862.1000000000001
industry_commerce_and_business,2018,4,22,748.0
industry_commerce_and_business,2018,5,33,1248.7200000000003
industry_commerce_and_business,2018,6,33,1248.7200000000003
industry_commerce_and_business,2018,7,1,95.0
kitchen_dining_laundry_garden_furniture,2017,2,1,820.05
kitchen_dining_laundry_garden_furniture,2017,3,1,387.0
kitchen_dining_laundry_garden_furniture,2017,4,1,31.46
kitchen_dining_laundry_garden_furniture,2017,5,1,42.89
kitchen_dining_laundry_garden_furniture,2017,8,5,2268.5
kitchen_dining_laundry_garden_furniture,2017,10,1,778.0
kitchen_dining_laundry_garden_furniture,2017,11,15,2757.8799999999997
kitchen_dining_laundry_garden_furniture,2017,12,5,312.25
kitchen_dining_laundry_garden_furniture,2018,1,3,1062.22
kitchen_dining_laundry_garden_furniture,2018,2,1,60.09
kitchen_dining_laundry_garden_furniture,2018,3,5,312.25
kitchen_dining_laundry_garden_furniture,2018,4,2,35.0
kitchen_dining_laundry_garden_furniture,2018,6,2,142.5
kitchen_dining_laundry_garden_furniture,2018,7,3,321.88
kitchen_dining_laundry_garden_furniture,2018,8,1,509.99
la_cuisine,2017,7,1,91.33
luggage_accessories,2017,2,57,20288.38
luggage_accessories,2017,4,1,692.0
luggage_accessories,2017,6,20,3970.0
luggage_accessories,2017,7,23,4080.0299999999997
luggage_accessories,2017,8,7,1399.8000000000002
luggage_accessories,2017,9,1,107.63
luggage_accessories,2017,10,27,4581.1900000000005
luggage_accessories,2017,11,8,3216.5
luggage_accessories,2017,12,17,5198.0
luggage_accessories,2018,1,14,2672.13
luggage_accessories,2018,2,5,1064.75
luggage_accessories,2018,3,13,6714.69
luggage_accessories,2018,4,6,6229.4
luggage_accessories,2018,5,4,6073.75
luggage_accessories,2018,6,5,247.95999999999998
luggage_accessories,2018,7,3,220.05
luggage_accessories,2018,8,18,1432.6999999999998
market_place,2016,10,2,75.68
market_place,2017,2,13,6260.950000000002
market_place,2017,3,1,420.07
market_place,2017,4,8,81.27999999999999
market_place,2017,5,13,8575.869999999999
market_place,2017,6,8,81.27999999999999
market_place,2017,7,6,230.87999999999997
market_place,2017,8,40,3726.5599999999977
market_place,2017,9,10,2083.2799999999997
market_place,2017,10,8,2232.88
market_place,2017,11,9,831.18
market_place,2017,12,1,399.2
market_place,2018,1,15,3011.7000000000003
market_place,2018,2,18,4291.589999999999
market_place,2018,3,10,1160.21
market_place,2018,7,1,37.89
music,2018,8,1,23.1
musical_instruments,2017,2,4,338.2
musical_instruments,2017,4,8,1273.52
musical_instruments,2017,5,2,1640.1
musical_instruments,2017,6,3,170.67000000000002
musical_instruments,2017,7,2,88.69999999999999
musical_instruments,2017,9,2,794.9499999999999
musical_instruments,2017,10,1,692.0
musical_instruments,2017,11,15,2267.88
musical_instruments,2017,12,13,1404.5000000000002
musical_instruments,2018,1,5,3916.1899999999996
musical_instruments,2018,2,2,569.0
musical_instruments,2018,3,9,843.08
musical_instruments,2018,4,17,1499.4900000000005
musical_instruments,2018,5,8,4717.1
musical_instruments,2018,6,11,4960.8099999999995
musical_instruments,2018,7,15,2278.45
musical_instruments,2018,8,3,1672.0
office_furniture,2017,1,15,4905.0
office_furniture,2017,2,121,21951.73000000001
office_furniture,2017,3,47,9117.709999999997
office_furniture,2017,4,114,96177.36000000015
office_furniture,2017,5,36,12982.960000000001
office_furniture,2017,6,33,13935.0
office_furniture,2017,7,40,6546.529999999994
office_furniture,2017,8,61,40152.630000000005
office_furniture,2017,9,22,5282.76
office_furniture,2017,10,132,59493.38
office_furniture,2017,11,154,201924.49000000028
office_furniture,2017,12,21,1633.5499999999997
office_furniture,2018,1,215,23544.000000000044
office_furniture,2018,2,266,22579.419999999907
office_furniture,2018,3,226,97449.39999999997
office_furniture,2018,4,186,25101.989999999972
office_furniture,2018,5,266,135495.99000000017
office_furniture,2018,6,101,13965.339999999997
office_furniture,2018,7,72,4939.150000000003
office_furniture,2018,8,31,1805.0699999999995
party_supplies,2017,11,1,260.0
party_supplies,2018,5,1,137.88
party_supplies,2018,7,1,86.32
party_supplies,2018,8,2,448.88
perfumery,2016,10,35,3234.090000000001
perfumery,2017,1,4,1641.18
perfumery,2017,2,1,692.0
perfumery,2017,3,119,24583.479999999996
perfumery,2017,4,69,9168.390000000009
perfumery,2017,5,116,15304.059999999989
perfumery,2017,6,346,40469.25
perfumery,2017,7,172,20010.879999999994
perfumery,2017,8,161,18704.269999999997
perfumery,2017,9,413,50519.2199999998
perfumery,2017,10,408,49925.60999999985
perfumery,2017,11,600,79072.75999999933
perfumery,2017,12,728,101098.92999999899
perfumery,2018,1,184,21325.580000000034
perfumery,2018,2,83,10141.910000000007
perfumery,2018,3,115,16635.950000000033
perfumery,2018,4,68,12335.140000000007
perfumery,2018,5,10,1663.83
perfumery,2018,6,20,5225.690000000001
perfumery,2018,7,156,41521.38999999985
perfumery,2018,8,78,43373.459999999825
pet_shop,2017,1,5,279.15
pet_shop,2017,2,14,3304.5499999999997
pet_shop,2017,3,5,279.15
pet_shop,2017,4,20,2780.12
pet_shop,2017,5,15,3359.1600000000003
pet_shop,2017,6,27,3914.189999999999
pet_shop,2017,7,35,6359.18
pet_shop,2017,8,54,7636.109999999999
pet_shop,2017,9,36,6986.640000000005
pet_shop,2017,10,16,1677.1299999999997
pet_shop,2017,11,6,2212.2
pet_shop,2017,12,26,9179.519999999997
pet_shop,2018,1,14,1272.16
pet_shop,2018,2,36,6501.019999999999
pet_shop,2018,3,30,10980.939999999991
pet_shop,2018,4,47,59621.98000000005
pet_shop,2018,5,41,10174.640000000001
pet_shop,2018,6,50,20296.949999999993
pet_shop,2018,7,53,26386.31
pet_shop,2018,8,66,40573.12000000001
signaling_and_security,2017,7,1,107.54
signaling_and_security,2017,11,3,479.97
signaling_and_security,2018,1,1,692.0
signaling_and_security,2018,2,1,145.2
signaling_and_security,2018,4,4,793.68
signaling_and_security,2018,6,8,336.28
signaling_and_security,2018,7,2,896.49
small_appliances,2017,1,1,26.77
small_appliances,2017,2,3,449.27
small_appliances,2017,3,14,12201.240000000002
small_appliances,2017,6,6,1637.6
small_appliances,2017,7,4,1610.94
small_appliances,2017,9,6,413.0
small_appliances,2017,10,3,249.38
small_appliances,2017,11,1,9.57
small_appliances,2017,12,6,195.32
small_appliances,2018,1,2,1028.0
small_appliances,2018,2,3,179.0
small_appliances,2018,3,17,2468.53
small_appliances,2018,4,20,7008.709999999999
small_appliances,2018,5,23,1889.3100000000002
small_appliances,2018,6,7,4614.82
small_appliances,2018,7,2,538.99
small_appliances,2018,8,18,2673.5600000000004
small_appliances_home_oven_and_coffee,2017,9,1,95.74
small_appliances_home_oven_and_coffee,2018,3,1,320.99
small_appliances_home_oven_and_coffee,2018,4,2,139.72
small_appliances_home_oven_and_coffee,2018,5,2,93.1
small_appliances_home_oven_and_coffee,2018,7,1,218.0
small_appliances_home_oven_and_coffee,2018,8,1,469.99
sports_leisure,2016,10,9,968.1000000000001
sports_leisure,2017,1,69,12827.980000000005
sports_leisure,2017,2,48,11965.140000000007
sports_leisure,2017,3,75,14573.190000000008
sports_leisure,2017,4,47,11506.090000000002
sports_leisure,2017,5,211,28760.10999999993
sports_leisure,2017,6,372,62638.98999999995
sports_leisure,2017,7,704,124159.53999999998
sports_leisure,2017,8,638,97843.64999999963
sports_leisure,2017,9,659,134868.5299999999
sports_leisure,2017,10,418,136869.37999999986
sports_leisure,2017,11,280,52791.410000000054
sports_leisure,2017,12,206,49738.31999999996
sports_leisure,2018,1,259,46490.19000000006
sports_leisure,2018,2,344,118113.4500000001
sports_leisure,2018,3,397,105542.22000000015
sports_leisure,2018,4,191,55092.40000000004
sports_leisure,2018,5,186,45193.650000000016
sports_leisure,2018,6,243,33043.579999999914
sports_leisure,2018,7,267,49175.509999999966
sports_leisure,2018,8,191,54885.34999999997
stationery,2017,1,1,169.99
stationery,2017,2,1,18.04
stationery,2017,3,5,2124.8999999999996
stationery,2017,4,11,2103.59
stationery,2017,5,28,5196.379999999998
stationery,2017,6,14,8714.339999999998
stationery,2017,7,18,5729.9400000000005
stationery,2017,8,15,10544.24
stationery,2017,9,29,5516.049999999999
stationery,2017,10,40,20656.519999999997
stationery,2017,11,62,12844.390000000007
stationery,2017,12,33,11657.2
stationery,2018,1,94,17261.550000000007
stationery,2018,2,52,18854.72
stationery,2018,3,15,11251.899999999998
stationery,2018,4,37,12970.46
stationery,2018,5,45,10816.31
stationery,2018,6,47,8662.179999999997
stationery,2018,7,80,19410.929999999993
stationery,2018,8,33,9633.45
tablets_printing_image,2017,3,18,2258.28
tablets_printing_image,2017,4,14,1756.4400000000003
tablets_printing_image,2017,5,17,2132.82
tablets_printing_image,2017,10,6,752.76
tablets_printing_image,2017,11,9,512.01
tablets_printing_image,2017,12,21,1194.6900000000003
tablets_printing_image,2018,1,6,5279.94
tablets_printing_image,2018,2,18,8311.5
tablets_printing_image,2018,3,9,6525.0
tablets_printing_image,2018,4,6,5279.94
tablets_printing_image,2018,6,9,258.29999999999995
telephony,2017,1,26,60980.0
telephony,2017,2,1,387.49
telephony,2017,3,48,117140.13
telephony,2017,4,71,175298.91000000003
telephony,2017,5,98,178716.63
telephony,2017,6,58,62063.95000000004
telephony,2017,7,37,60444.22000000001
telephony,2017,8,45,108585.47000000002
telephony,2017,9,169,540439.79
telephony,2017,10,135,47534.99000000004
telephony,2017,11,179,123804.34999999986
telephony,2017,12,386,594987.770000002
telephony,2018,1,338,310232.5200000003
telephony,2018,2,217,143051.73999999987
telephony,2018,3,205,77316.40000000007
telephony,2018,4,249,162056.6599999997
telephony,2018,5,153,74830.17000000004
telephony,2018,6,45,18035.12
telephony,2018,7,194,51820.23000000019
telephony,2018,8,242,75778.30000000028
toys,2016,10,247,115905.35999999994
toys,2016,12,6,1295.64
toys,2017,1,1208,360681.9800000029
toys,2017,2,2096,808290.5699999972
toys,2017,3,5710,2449624.319999966
toys,2017,4,5898,1512781.7700000321
toys,2017,5,10351,2530462.47999996
toys,2017,6,10505,3737668.7099998225
toys,2017,7,14940,6414399.359999974
toys,2017,8,16097,5940577.510000409
toys,2017,9,15298,7392530.949999876
toys,2017,10,18708,8163895.990000074
toys,2017,11,33166,32663669.74999553
toys,2017,12,22732,13814159.490001025
toys,2018,1,29417,8484798.570000729
toys,2018,2,30840,13678312.220002785
toys,2018,3,26470,20486084.340000197
toys,2018,4,25638,20470438.280000634
toys,2018,5,28514,23891021.74000015
toys,2018,6,17572,6129193.090000406
toys,2018,7,14443,4609161.340000127
toys,2018,8,15569,5583898.980000005
toys,2018,9,4,621.6
watches_gifts,2017,1,2,1137.9
watches_gifts,2017,2,6,802.9
watches_gifts,2017,3,1,59.7
watches_gifts,2017,4,29,2876.0200000000027
watches_gifts,2017,5,22,1161.8700000000001
watches_gifts,2017,6,224,15552.769999999979
watches_gifts,2017,7,422,401016.9300000015
watches_gifts,2017,8,324,314067.0500000001
watches_gifts,2017,9,459,76626.34999999931
watches_gifts,2017,10,108,27877.669999999973
watches_gifts,2017,11,396,131823.52999999974
watches_gifts,2017,12,128,55167.380000000034
watches_gifts,2018,1,241,226190.38999999932
watches_gifts,2018,2,539,84302.20000000078
watches_gifts,2018,3,1312,172399.79000000062
watches_gifts,2018,4,2552,695663.0099999866
watches_gifts,2018,5,3230,621868.479999982
watches_gifts,2018,6,481,121416.61999999963
watches_gifts,2018,7,662,223053.2099999984
watches_gifts,2018,8,337,297911.96999999776
